apn,addy,long,lat
0282022,726 SUTTER,-122.41304413791246,37.789138712346364
2012010,1739 37TH,-122.49637450093573,37.75443918771816
5322066,4800 03RD,-122.39094724778452,37.73455825540617
7056042,190 MONTANA,-122.45870206517417,37.71696919413509
3514059,140 SOUTH VAN NESS,-122.41845400796662,37.771813572045176
0341015,938 MARKET,-122.40877740609687,37.78393930298495
6128011,1103 BOWDOIN,-122.40859078167972,37.72208164136774
7014001,997 CAPITOL,-122.45932006537231,37.71985162179003
1502022,576 43RD,-122.50379232788916,37.777740288626134
0825004,934 OAK,-122.43480095615648,37.773562388174334
0060087,220 LOMBARD,-122.40574010614797,37.803833644781015
5291032,1630 LA SALLE,-122.38908214843951,37.736861060684596
5618011,128 ELSIE,-122.41796942392527,37.74250429475961
1218025A,1181 OAK,-122.43860730127594,37.772582467955985
6251013A,845 RUTLAND,-122.40720923027722,37.711894222959856
6491024,745 BRUNSWICK,-122.44853742642186,37.70838772571364
6799024,55 TINGLEY,-122.43363779855198,37.728726844805
5290037,1651 KIRKWOOD,-122.39117402590058,37.73838417894146
6510025,322 CHATTANOOGA,-122.42664796584506,37.75134061681166
0150053,1020 BROADWAY,-122.41388997237195,37.79708476187299
2650039,4171 17TH,-122.4389182404971,37.761895629909965
3766209,400 BEALE,-122.39140545840581,37.78711537767744
3766149,400 BEALE,-122.39140545840581,37.78711537767744
0525055,1335 FILBERT,-122.42137569093678,37.79937014645335
5359004,5191 03RD,-122.39184996864424,37.73098185230773
3211006I,48 MEDA,-122.44175126814315,37.72378332034316
4970025,3225 INGALLS,-122.39290957009422,37.71857406109656
7517138,950 DUNCAN,-122.4416713222936,37.74532861587123
4103104,501 MISSISSIPPI,-122.3938560985144,37.76008140439172
2407006,2469 18TH,-122.47507032573921,37.74179801176688
3065012,530 MANGELS,-122.44958446384658,37.7334362814682
4757038,1135 PALOU,-122.38249699911687,37.72873476077341
2015024,1754 35TH,-122.49355338513789,37.75428892798372
5730004,212 PUTNAM,-122.41109800895205,37.73658114575952
2029051,1722 21ST,-122.4785886294607,37.75549992434867
3646014,1135 GUERRERO,-122.42282914354229,37.75298215375522
2919027,150 LENOX,-122.46568920615879,37.741691365200495
3779101A,318 HARRIET,-122.40289550650037,37.77510417064045
0149084,941 VALLEJO,-122.41287754472263,37.79758994664381
1562037,522 20TH,-122.4786617079568,37.777910433415954
3511129,1042 MINNA,-122.41742479958361,37.773581340240526
0063018,590 LOMBARD,-122.41131058546229,37.80321282106411
4070073,639 CAROLINA,-122.40001350538428,37.75989109093608
2204032,2146 14TH,-122.47044595201504,37.74802722949337
1198027,552 CENTRAL,-122.44408778992508,37.77491562498514
0060249,111 CHESTNUT,-122.40574010614797,37.803833644781015
1873025A,1554 28TH,-122.48589810448473,37.75836631591638
5836003,412 COLLEGE,-122.42413152470291,37.73319026645136
1204022,412 BRODERICK,-122.43920574595958,37.77409006279219
7501153,5027 DIAMOND HEIGHTS,-122.44162620885375,37.748011230646526
3767240,201 HARRISON,-122.39064567645022,37.787183004013535
4072001D,724 DE HARO,-122.40167585474359,37.76055280743965
1658029,718 16TH,-122.47409162666786,37.774449234282336
5942028,215 MADISON,-122.4223296113329,37.72642450641149
6545019,586 CLIPPER,-122.43787193937047,37.74874106387641
6011018,175 PARIS,-122.43137601654522,37.72566279389562
6998024,926 GARFIELD,-122.47120651902722,37.72000022431223
7121017,40 RALSTON,-122.46852224292756,37.7133860653593
6981028,1026 PLYMOUTH,-122.45562551537631,37.720563766963075
1911020,2645 LAWTON,-122.49131803129028,37.75721423178113
7269038,1723 EUCALYPTUS,-122.48951036609687,37.73088134304106
6080038,337 LISBON,-122.43248416415553,37.72276230495679
3774381,200 BRANNAN,-122.39140599965857,37.78362734331349
5613015,44 BONVIEW,-122.41620716321945,37.74413698067218
4788021A,1337 REVERE,-122.38555494908415,37.72858006653651
3794180,170 KING,-122.39120245330322,37.77885085878538
4021031,2949 18TH,-122.41179707129093,37.760468295564145
6722001,101 SAINT MARYS,-122.42779932720086,37.73428816847201
0518003,3047 LAGUNA,-122.43098762161232,37.799242287961036
2417002A,2527 16TH,-122.47243187850741,37.740735362382374
4101051,615 MISSOURI,-122.39599840467787,37.75850749943805
7148004D,227 SAGAMORE,-122.46011122912122,37.71124197992009
7106042A,251 FARALLONES,-122.46088440327524,37.71361450654492
0713118,1200 GOUGH,-122.42438644959063,37.78444872288895
8702018,250 KING,-122.39273718570055,37.77868656014154
4789010A,1491 REVERE,-122.38833744157344,37.73015919105624
0278007,1264 BUSH,-122.41814155192468,37.789062824332376
6908006,2235 OCEAN,-122.46774468958456,37.72812834174016
5745058,290 RICHLAND,-122.42045680094884,37.73558528841415
1716048,3333 LINCOLN,-122.4938390635424,37.7643105643961
1247009,1566 WALLER,-122.44983825697982,37.76877551771388
3766048,400 BEALE,-122.39140545840581,37.78711537767744
0713090,1200 GOUGH,-122.42438644959063,37.78444872288895
3604020,3750 21ST,-122.43121817850934,37.75638173876197
1453063,322 22ND,-122.48150160847865,37.78165079433256
6323001,202 SANTOS,-122.41984785194269,37.709899518326765
5338026,1782 REVERE,-122.39335150001227,37.733778306536536
4264006,1362 UTAH,-122.4057289868043,37.75219142081893
5278038,4343 03RD,-122.38922522482245,37.73788612724019
3585007,650 CHURCH,-122.42875964578526,37.76037386579598
3731024,1062 FOLSOM,-122.40722226051315,37.7773934891465
0639030,2040 LAGUNA,-122.4288836840346,37.790023226930536
6800043,282 SILVER,-122.43172182284289,37.728884522702195
7010014,531 ORIZABA,-122.46274839294641,37.71855189551414
